t_s,temp_c,sm_clk_mhz,power_w,util_pct,throttle_thermal,throttle_powercap,reasons_raw
30.449,82,135,55.2,0,0,0,1
30.507,82,135,55.3,0,0,0,1
30.578,82,135,55.2,0,0,0,1
30.634,82,135,55.3,0,0,0,1
30.69,82,135,55.2,0,0,0,1
30.755,82,135,55.3,0,0,0,1
30.81,82,135,55.2,0,0,0,1
30.885,82,135,55.2,0,0,0,1
30.939,82,135,55.3,0,0,0,1
30.992,82,135,55.2,0,0,0,1
31.052,82,135,55.2,0,0,0,1
31.112,82,135,55.3,0,0,0,1
31.173,82,135,55.2,0,0,0,1
31.232,82,135,55.2,0,0,0,1
31.295,82,135,55.3,0,0,0,1
31.351,82,135,55.3,0,0,0,1
31.411,82,135,55.3,0,0,0,1
31.474,82,135,55.2,0,0,0,1
31.533,82,135,55.3,0,0,0,1
31.593,82,135,55.2,0,0,0,1
31.654,82,135,55.2,0,0,0,1
31.717,82,135,55.2,0,0,0,1
31.776,82,135,55.3,0,0,0,1
31.835,82,135,55.3,0,0,0,1
31.896,82,135,55.3,0,0,0,1
31.956,82,135,55.3,0,0,0,1
32.016,82,135,55.3,0,0,0,1
32.077,82,135,55.3,0,0,0,1
32.138,82,135,55.3,0,0,0,1
32.2,82,135,55.3,0,0,0,1
32.257,82,135,55.2,0,0,0,1
32.32,82,135,55.2,0,0,0,1
32.377,82,135,55.3,0,0,0,1
32.454,82,135,55.3,0,0,0,1
32.523,82,135,55.3,0,0,0,1
32.621,82,135,55.3,0,0,0,1
32.679,82,135,55.2,0,0,0,1
32.741,82,135,55.2,0,0,0,1
32.803,82,135,55.3,0,0,0,1
32.86,82,135,55.3,0,0,0,1
32.923,82,135,55.3,0,0,0,1
32.981,82,135,55.3,0,0,0,1
33.043,82,135,55.3,0,0,0,1
33.104,82,135,55.2,0,0,0,1
33.166,82,135,55.3,0,0,0,1
33.223,82,135,55.3,0,0,0,1
33.281,82,135,55.3,0,0,0,1
33.347,82,135,55.2,0,0,0,1
33.406,82,135,55.3,0,0,0,1
33.467,82,135,55.3,0,0,0,1
33.525,82,135,55.3,0,0,0,1
33.586,82,135,55.3,0,0,0,1
33.646,82,135,55.3,0,0,0,1
33.704,82,135,55.3,0,0,0,1
33.766,82,135,55.2,0,0,0,1
33.829,82,135,55.3,0,0,0,1
33.887,82,135,55.3,0,0,0,1
33.949,82,135,55.3,0,0,0,1
34.007,82,135,55.3,0,0,0,1
34.071,82,135,55.3,0,0,0,1
34.126,82,135,55.3,0,0,0,1
34.192,82,135,55.3,0,0,0,1
34.252,82,135,55.3,0,0,0,1
34.308,82,135,55.3,0,0,0,1
34.374,82,135,55.3,0,0,0,1
34.435,82,135,55.3,0,0,0,1
34.488,82,135,55.2,0,0,0,1
34.552,82,135,55.3,0,0,0,1
34.608,82,135,55.2,0,0,0,1
34.673,82,135,55.3,0,0,0,1
34.732,82,135,55.2,0,0,0,1
34.795,82,135,55.3,0,0,0,1
34.855,82,135,55.3,0,0,0,1
34.916,82,135,55.2,0,0,0,1
34.975,82,135,55.3,0,0,0,1
35.031,82,135,55.3,0,0,0,1
35.09,82,135,55.3,0,0,0,1
35.152,82,135,55.3,0,0,0,1
35.217,82,135,55.3,0,0,0,1
35.273,82,135,55.3,0,0,0,1
35.332,82,135,55.3,0,0,0,1
35.392,82,135,55.3,0,0,0,1
35.452,82,135,55.3,0,0,0,1
35.514,82,135,55.2,0,0,0,1
35.575,82,135,55.3,0,0,0,1
